DATE,TWEXM
1987-11-11,92.1923
1987-11-18,92.9079
1987-11-25,92.2338
1987-12-02,91.0962
1987-12-09,91.4159
1987-12-16,89.6058
1987-12-23,89.2877
1987-12-30,88.0914
1988-01-06,88.2608
1988-01-13,89.3959
1988-01-20,90.0095
1988-01-27,89.9302
1988-02-03,90.1689
1988-02-10,90.5018
1988-02-17,90.9494
1988-02-24,90.706
1988-03-02,90.1185
1988-03-09,89.6041
1988-03-16,89.002
1988-03-23,89.4288
1988-03-30,88.1823
1988-04-06,87.8123
1988-04-13,88.704
1988-04-20,87.5438
1988-04-27,87.8718
1988-05-04,88.0244
1988-05-11,88.0664
1988-05-18,88.3047
1988-05-25,88.5306
1988-06-01,88.8128
1988-06-08,89.1566
1988-06-15,89.0888
1988-06-22,89.6636
1988-06-29,91.6759
1988-07-06,92.6802
1988-07-13,92.6157
1988-07-20,93.3594
1988-07-27,92.2941
1988-08-03,93.1118
1988-08-10,94.0069
1988-08-17,93.9651
1988-08-24,94.4067
1988-08-31,94.1785
1988-09-07,94.2012
1988-09-14,93.8198
1988-09-21,93.9668
1988-09-28,94.227
1988-10-05,93.6232
1988-10-12,92.7685
1988-10-19,90.8259
1988-10-26,90.1348
1988-11-02,90.028
1988-11-09,90.066
1988-11-16,88.9619
1988-11-23,88.0245
1988-11-30,87.357
1988-12-07,87.4587
1988-12-14,87.9832
1988-12-21,88.9036
1988-12-28,89.2306
1989-01-04,89.0511
1989-01-11,90.1855
1989-01-18,90.8318
1989-01-25,90.8527
1989-02-01,91.2701
1989-02-08,91.5623
1989-02-15,90.8295
1989-02-22,90.6018
1989-03-01,90.7952
1989-03-08,91.5553
1989-03-15,92.0733
1989-03-22,92.4778
1989-03-29,92.8507
1989-04-05,92.8689
1989-04-12,92.9255
1989-04-19,92.4198
1989-04-26,92.364
1989-05-03,93.2061
1989-05-10,93.7442
1989-05-17,95.1294
1989-05-24,97.2967
1989-05-31,97.8672
1989-06-07,97.3756
1989-06-14,99.3061
1989-06-21,98.4525
1989-06-28,96.7352
1989-07-05,96.518
1989-07-12,94.7739
1989-07-19,95.4453
1989-07-26,95.5025
1989-08-02,93.8067
1989-08-09,94.4574
1989-08-16,95.9078
1989-08-23,96.7673
1989-08-30,96.6161
1989-09-06,97.727
1989-09-13,98.1976
1989-09-20,97.629
1989-09-27,95.9224
1989-10-04,94.8038
1989-10-11,95.8846
1989-10-18,95.4338
1989-10-25,94.7027
1989-11-01,94.6555
1989-11-08,95.0015
1989-11-15,95.0169
1989-11-22,94.9761
1989-11-29,94.2093
1989-12-06,93.8947
1989-12-13,93.6014
1989-12-20,93.0724
1989-12-27,92.2376
1990-01-03,92.6332
1990-01-10,91.9338
1990-01-17,92.094
1990-01-24,92.9108
1990-01-31,92.3334
1990-02-07,92.158
1990-02-14,92.4001
1990-02-21,92.3915
1990-02-28,92.8351
1990-03-07,93.8641
1990-03-14,94.1696
1990-03-21,94.2696
1990-03-28,94.8805
1990-04-04,94.6575
1990-04-11,94.3175
1990-04-18,94.2425
1990-04-25,94.1537
1990-05-02,94.2007
1990-05-09,93.5137
1990-05-16,92.4551
1990-05-23,92.713
1990-05-30,92.7866
1990-06-06,93.1826
1990-06-13,93.337
1990-06-20,92.9937
1990-06-27,92.8944
1990-07-04,91.8349
1990-07-11,90.9765
1990-07-18,90.528
1990-07-25,90.1971
1990-08-01,89.4932
1990-08-08,89.2463
1990-08-15,88.7629
1990-08-22,87.7301
1990-08-29,86.9947
1990-09-05,87.7245
1990-09-12,87.4861
1990-09-19,86.6111
1990-09-26,86.6936
1990-10-03,86.498
1990-10-10,84.7015
1990-10-17,83.8739
1990-10-24,83.8527
1990-10-31,84.2477
1990-11-07,83.66
1990-11-14,83.8373
1990-11-21,83.5316
1990-11-28,83.6394
1990-12-05,85.1219
1990-12-12,84.2811
1990-12-19,84.6181
1990-12-26,86.0919
1991-01-02,85.4885
1991-01-09,85.3964
1991-01-16,85.8895
1991-01-23,84.6196
1991-01-30,84.2887
1991-02-06,83.4838
1991-02-13,82.7589
1991-02-20,83.8666
1991-02-27,84.7662
1991-03-06,85.9108
1991-03-13,87.0588
