DATE,WSECOUT
2005-12-07,744.175
2005-12-14,744.185
2005-12-21,744.196
2005-12-28,744.207
2006-01-04,743.831
2006-01-11,744.249
2006-01-18,745.519
2006-01-25,745.928
2006-02-01,748.672
2006-02-08,748.827
2006-02-15,750.625
2006-02-22,751.487
2006-03-01,753.690
2006-03-08,754.952
2006-03-15,756.617
2006-03-22,757.241
2006-03-29,758.513
2006-04-05,758.544
2006-04-12,758.559
2006-04-19,758.571
2006-04-26,758.896
2006-05-03,759.694
2006-05-10,759.725
2006-05-17,760.177
2006-05-24,760.449
2006-05-31,762.401
2006-06-07,763.824
2006-06-14,765.286
2006-06-21,766.278
2006-06-28,766.330
2006-07-05,766.371
2006-07-12,766.404
2006-07-19,765.788
2006-07-26,764.752
2006-08-02,764.793
2006-08-09,764.824
2006-08-16,764.837
2006-08-23,764.850
2006-08-30,765.398
2006-09-06,766.751
2006-09-13,767.291
2006-09-20,768.887
2006-09-27,768.908
2006-10-04,768.926
2006-10-11,768.941
2006-10-18,768.577
2006-10-25,767.413
2006-11-01,768.651
2006-11-08,769.971
2006-11-15,770.352
2006-11-22,770.558
2006-11-29,772.074
2006-12-06,773.368
2006-12-13,775.414
2006-12-20,776.930
2006-12-27,778.951
2007-01-03,778.916
2007-01-10,778.902
2007-01-17,778.891
2007-01-24,778.880
2007-01-31,778.868
2007-02-07,778.871
2007-02-14,778.884
2007-02-21,778.898
2007-02-28,779.447
2007-03-07,780.809
2007-03-14,780.833
2007-03-21,780.857
2007-03-28,780.882
2007-04-04,780.908
2007-04-11,781.362
2007-04-18,782.844
2007-04-25,784.787
2007-05-02,787.183
2007-05-09,789.796
2007-05-16,790.074
2007-05-23,790.153
2007-05-30,790.236
2007-06-06,790.300
2007-06-13,790.359
2007-06-20,790.417
2007-06-27,790.476
2007-07-04,790.531
2007-07-11,790.587
2007-07-18,790.640
2007-07-25,790.694
2007-08-01,790.758
2007-08-08,790.814
2007-08-15,790.655
2007-08-22,789.613
2007-08-29,784.630
2007-09-05,779.641
2007-09-12,779.639
2007-09-19,779.636
2007-09-26,779.634
2007-10-03,779.630
2007-10-10,779.613
2007-10-17,779.597
2007-10-24,779.580
2007-10-31,779.568
2007-11-07,779.603
2007-11-14,779.631
2007-11-21,779.657
2007-11-28,779.683
2007-12-05,779.705
2007-12-12,774.728
2007-12-19,769.748
2007-12-26,754.605
2008-01-02,740.611
2008-01-09,728.182
2008-01-16,728.238
2008-01-23,723.298
2008-01-30,718.350
2008-02-06,713.379
2008-02-13,713.372
2008-02-20,713.364
2008-02-27,713.358
2008-03-05,713.365
2008-03-12,709.133
2008-03-19,676.894
2008-03-26,628.977
2008-04-02,589.085
2008-04-09,560.817
2008-04-16,548.622
2008-04-23,548.651
2008-04-30,548.680
2008-05-07,542.395
2008-05-14,520.054
2008-05-21,502.831
2008-05-28,491.064
2008-06-04,486.909
2008-06-11,482.050
2008-06-18,478.710
2008-06-25,478.773
2008-07-02,478.838
2008-07-09,478.925
2008-07-16,479.004
2008-07-23,479.089
2008-07-30,479.174
2008-08-06,479.291
2008-08-13,479.396
2008-08-20,479.500
2008-08-27,479.604
2008-09-03,479.701
2008-09-10,479.762
2008-09-17,479.818
2008-09-24,480.272
2008-10-01,488.541
2008-10-08,490.942
2008-10-15,490.657
2008-10-22,490.633
2008-10-29,490.382
2008-11-05,490.027
2008-11-12,489.601
2008-11-19,489.084
2008-11-26,488.676
2008-12-03,488.445
2008-12-10,489.392
2008-12-17,492.765
2008-12-24,495.994
2008-12-31,496.227
2009-01-07,495.383
2009-01-14,497.489
2009-01-21,505.323
2009-01-28,508.693
2009-02-04,511.440
2009-02-11,514.118
2009-02-18,570.419
2009-02-25,579.083
2009-03-04,581.721
2009-03-11,584.064
2009-03-18,746.647
2009-03-25,760.492
2009-04-01,773.497
2009-04-08,796.917
2009-04-15,859.540
2009-04-22,954.046
2009-04-29,976.811
2009-05-06,989.502
2009-05-13,1025.649
2009-05-20,1085.600
2009-05-27,1108.234
2009-06-03,1114.473
2009-06-10,1133.524
2009-06-17,1176.290
2009-06-24,1207.055
2009-07-01,1216.327
2009-07-08,1228.765
2009-07-15,1265.707
2009-07-22,1325.951
2009-07-29,1343.891
2009-08-05,1354.082
2009-08-12,1372.692
2009-08-19,1448.821
2009-08-26,1478.942
2009-09-02,1490.628
2009-09-09,1501.369
2009-09-16,1532.747
2009-09-23,1578.868
2009-09-30,1588.374
2009-10-07,1594.891
2009-10-14,1608.044
2009-10-21,1677.885
2009-10-28,1692.177
2009-11-04,1697.644
2009-11-11,1699.466
2009-11-18,1773.953
2009-11-25,1785.029
2009-12-02,1783.761
2009-12-09,1786.288
2009-12-16,1807.332
2009-12-23,1839.748
2009-12-30,1846.037
2010-01-06,1844.953
2010-01-13,1856.314
2010-01-20,1906.189
2010-01-27,1912.690
2010-02-03,1910.885
2010-02-10,1913.423
2010-02-17,1967.056
2010-02-24,1975.284
2010-03-03,1970.843
2010-03-10,1971.754
2010-03-17,2011.499
2010-03-24,2017.660
2010-03-31,2014.288
2010-04-07,2014.407
2010-04-14,2023.898
2010-04-21,2045.482
2010-04-28,2045.382
2010-05-05,2042.250
