DATE,TREAS911Y
2017-06-07,256062
2017-06-14,256065
2017-06-21,256067
2017-06-28,256069
2017-07-05,275577
2017-07-12,275578
2017-07-19,276684
2017-07-26,276684
2017-08-02,298286
2017-08-09,298287
2017-08-16,321357
2017-08-23,310315
2017-08-30,310316
2017-09-06,323379
2017-09-13,323378
2017-09-20,323377
2017-09-27,323377
2017-10-04,324881
2017-10-11,324884
2017-10-18,321808
2017-10-25,321809
2017-11-01,345643
2017-11-08,317797
2017-11-15,352103
2017-11-22,335542
2017-11-29,335543
2017-12-06,328413
2017-12-13,328412
2017-12-20,328412
2017-12-27,328412
2018-01-03,315420
2018-01-10,315420
2018-01-17,317233
2018-01-24,317233
2018-01-31,297078
2018-02-07,297077
2018-02-14,270849
2018-02-21,314372
2018-02-28,326901
2018-03-07,298426
2018-03-14,298430
2018-03-21,298434
2018-03-28,298438
2018-04-04,290367
2018-04-11,290370
2018-04-18,289430
2018-04-25,289432
2018-05-02,290878
2018-05-09,290879
2018-05-16,329356
2018-05-23,306288
2018-05-30,306289
2018-06-06,305415
2018-06-13,305417
2018-06-20,305419
2018-06-27,305421.0
2018-07-04,307879.0
2018-07-11,307881.0
2018-07-18,310067.0
2018-07-25,310069.0
2018-08-01,329380.0
2018-08-08,305548.0
2018-08-15,360363.0
2018-08-22,326060.0
2018-08-29,326061.0
2018-09-05,315819.0
2018-09-12,315819.0
2018-09-19,315819.0
2018-09-26,315819.0
2018-10-03,310595.0
2018-10-10,310595.0
2018-10-17,308510.0
2018-10-24,308510.0
2018-10-31,324193.0
2018-11-07,310003.0
2018-11-14,310003.0
2018-11-21,306254.0
2018-11-28,306254.0
2018-12-05,302120.0
2018-12-12,302120.0
2018-12-19,302120.0
2018-12-26,302121.0
2019-01-02,290222.0
2019-01-09,290222.0
2019-01-16,292515.0
2019-01-23,292514.0
2019-01-30,260766.0
2019-02-06,275448.0
2019-02-13,275447.0
2019-02-20,274118.0
2019-02-27,274117.0
2019-03-06,270526.0
2019-03-13,270527.0
2019-03-20,270527.0
2019-03-27,270528.0
2019-04-03,265650.0
2019-04-10,265651.0
2019-04-17,263734.0
2019-04-24,263735.0
2019-05-01,275285.0
2019-05-08,255978.0
2019-05-15,255980.0
2019-05-22,251024.0
2019-05-29,251025.0
2019-06-05,246840.0
2019-06-12,246842.0
2019-06-19,246843.0
2019-06-26,246845.0
2019-07-03,250963.0
2019-07-10,250964.0
2019-07-17,256783.0
2019-07-24,256786.0
2019-07-31,256814.0
2019-08-07,251235.0
2019-08-14,251235.0
2019-08-21,268484.0
2019-08-28,268484.0
2019-09-04,265484.0
2019-09-11,265487.0
2019-09-18,269514.0
2019-09-25,269442.0
2019-10-02,267176.0
2019-10-09,267176.0
2019-10-16,267651.0
2019-10-23,276315.0
2019-10-30,292006.0
2019-11-06,285932.0
2019-11-13,287950.0
2019-11-20,282729.0
2019-11-27,303961.0
2019-12-04,301082.0
2019-12-11,313901.0
2019-12-18,328716.0
2019-12-25,345124.0
2020-01-01,341875.0
2020-01-08,344202.0
2020-01-15,349598.0
2020-01-22,369212.0
2020-01-29,378533.0
2020-02-05,378638.0
2020-02-12,376189.0
2020-02-19,361944.0
2020-02-26,355980.0
2020-03-04,367820.0
2020-03-11,378403.0
2020-03-18,387117.0
2020-03-25,430067.0
2020-04-01,468063.0
2020-04-08,500589.0
2020-04-15,527601.0
2020-04-22,528185.0
2020-04-29,535821.0
2020-05-06,558517.0
2020-05-13,561643.0
2020-05-20,557843.0
2020-05-27,564220.0
2020-06-03,589247.0
2020-06-10,586718.0
2020-06-17,587886.0
2020-06-24,605122.0
2020-07-01,635460.0
2020-07-08,618085.0
2020-07-15,633384.0
2020-07-22,637534.0
2020-07-29,644020.0
2020-08-05,642929.0
2020-08-12,632529.0
2020-08-19,664486.0
2020-08-26,663816.0
2020-09-02,663688.0
2020-09-09,656032.0
2020-09-16,668093.0
2020-09-23,671972.0
2020-09-30,694799.0
2020-10-07,648353.0
2020-10-14,656000.0
2020-10-21,656206.0
2020-10-28,654840.0
2020-11-04,633540.0
2020-11-11,642675.0
2020-11-18,664873.0
2020-11-25,668914.0
2020-12-02,630853.0
2020-12-09,637152.0
2020-12-16,647778.0
2020-12-23,650885.0
2020-12-30,649811.0
2021-01-06,647973.0
2021-01-13,649581.0
2021-01-20,650460.0
2021-01-27,648172.0
2021-02-03,636995.0
2021-02-10,637758.0
2021-02-17,634962.0
2021-02-24,630641.0
2021-03-03,624721.0
2021-03-10,624104.0
2021-03-17,630172.0
2021-03-24,625588.0
2021-03-31,655501.0
2021-04-07,624772.0
2021-04-14,625391.0
2021-04-21,625269.0
2021-04-28,628477.0
2021-05-05,630363.0
2021-05-12,630986.0
2021-05-19,643626.0
2021-05-26,647962.0
2021-06-02,643631.0
2021-06-09,643991.0
2021-06-16,656183.0
2021-06-23,647609.0
2021-06-30,678379.0
2021-07-07,658430.0
2021-07-14,653014.0
2021-07-21,675957.0
2021-07-28,676407.0
2021-08-04,682163.0
2021-08-11,676691.0
2021-08-18,696797.0
2021-08-25,696821.0
2021-09-01,704235.0
2021-09-08,699105.0
2021-09-15,712400.0
2021-09-22,702303.0
2021-09-29,702379.0
2021-10-06,699428.0
2021-10-13,706046.0
2021-10-20,706735.0
2021-10-27,706530.0
2021-11-03,702180.0
2021-11-10,707348.0
2021-11-17,715588.0
2021-11-24,715450.0
2021-12-01,711536.0
2021-12-08,716309.0
2021-12-15,716085.0
2021-12-22,716163.0
2021-12-29,714817.0
2022-01-05,727418.0
2022-01-12,727986.0
2022-01-19,722254.0
2022-01-26,721944.0
2022-02-02,738168.0
2022-02-09,737988.0
2022-02-16,735457.0
2022-02-23,731102.0
2022-03-02,771738.0
2022-03-09,771555.0
2022-03-16,778665.0
2022-03-23,760289.0
2022-03-30,761650.0
2022-04-06,777154.0
2022-04-13,777433.0
2022-04-20,769484.0
2022-04-27,773813.0
