DATE,SBCACBW027SBOG
1991-11-06,709.2903
1991-11-13,713.3237
1991-11-20,714.1995
1991-11-27,719.0466
1991-12-04,718.7745
1991-12-11,722.4562
1991-12-18,725.2651
1991-12-25,731.0784
1992-01-01,731.9918
1992-01-08,733.2816
1992-01-15,734.8136
1992-01-22,737.3016
1992-01-29,737.4196
1992-02-05,744.5354
1992-02-12,742.5761
1992-02-19,745.0744
1992-02-26,744.0001
1992-03-04,746.6437
1992-03-11,749.1271
1992-03-18,748.3361
1992-03-25,754.4039
1992-04-01,748.7887
1992-04-08,750.9932
1992-04-15,758.4989
1992-04-22,758.6799
1992-04-29,755.9827
1992-05-06,763.0095
1992-05-13,767.8743
1992-05-20,763.1822
1992-05-27,766.4113
1992-06-03,768.8471
1992-06-10,772.6305
1992-06-17,772.1347
1992-06-24,778.0168
1992-07-01,778.2
1992-07-08,781.37
1992-07-15,784.597
1992-07-22,789.803
1992-07-29,784.747
1992-08-05,794.7919
1992-08-12,796.361
1992-08-19,796.7562
1992-08-26,797.5809
1992-09-02,799.4276
1992-09-09,800.4409
1992-09-16,798.1648
1992-09-23,801.7301
1992-09-30,807.8893
1992-10-07,806.0587
1992-10-14,808.5476
1992-10-21,808.7285
1992-10-28,807.7586
1992-11-04,811.2228
1992-11-11,815.5255
1992-11-18,816.1962
1992-11-25,817.8456
1992-12-02,821.9011
1992-12-09,821.6066
1992-12-16,821.5159
1992-12-23,826.5481
1992-12-30,831.4227
1993-01-06,824.288
1993-01-13,824.1836
1993-01-20,821.7384
1993-01-27,821.8498
1993-02-03,833.5413
1993-02-10,830.6621
1993-02-17,832.3703
1993-02-24,836.7685
1993-03-03,837.764
1993-03-10,841.4757
1993-03-17,846.63
1993-03-24,851.2988
1993-03-31,855.4421
1993-04-07,852.1044
1993-04-14,856.1819
1993-04-21,859.0246
1993-04-28,860.7593
1993-05-05,860.6775
1993-05-12,859.5355
1993-05-19,859.1119
1993-05-26,858.0238
1993-06-02,867.3619
1993-06-09,868.2762
1993-06-16,868.2068
1993-06-23,873.2238
1993-06-30,872.6612
1993-07-07,878.5641
1993-07-14,879.487
1993-07-21,881.7992
1993-07-28,878.2513
1993-08-04,885.8581
1993-08-11,883.6072
1993-08-18,885.7354
1993-08-25,879.8803
1993-09-01,878.4075
1993-09-08,882.4736
1993-09-15,885.9935
1993-09-22,890.3121
1993-09-29,884.4812
1993-10-06,883.9039
1993-10-13,884.5641
1993-10-20,882.1379
1993-10-27,879.534
1993-11-03,882.861
1993-11-10,889.6411
1993-11-17,883.1494
1993-11-24,883.9085
1993-12-01,885.8098
1993-12-08,889.6187
1993-12-15,891.231
1993-12-22,893.3069
1993-12-29,893.4189
1994-01-05,904.0289
1994-01-12,903.8296
1994-01-19,900.5972
1994-01-26,894.3861
1994-02-02,892.9445
1994-02-09,892.1652
1994-02-16,894.2149
1994-02-23,894.233
1994-03-02,900.3155
1994-03-09,905.9562
1994-03-16,905.5974
1994-03-23,912.8731
1994-03-30,917.5014
1994-04-06,916.7745
1994-04-13,918.5425
1994-04-20,918.0586
1994-04-27,915.7825
1994-05-04,912.5532
1994-05-11,914.5903
1994-05-18,911.6613
1994-05-25,911.9834
1994-06-01,911.3206
1994-06-08,909.9791
1994-06-15,918.5027
1994-06-22,917.7392
1994-06-29,919.6563
1994-07-06,923.0074
1994-07-13,922.1431
1994-07-20,916.9177
1994-07-27,917.8426
1994-08-03,911.0577
1994-08-10,911.9536
1994-08-17,911.8272
1994-08-24,912.2379
1994-08-31,912.7281
1994-09-07,908.6578
1994-09-14,915.2761
1994-09-21,912.7408
1994-09-28,906.2862
1994-10-05,898.7003
1994-10-12,899.0377
1994-10-19,899.5317
1994-10-26,897.497
1994-11-02,896.4038
1994-11-09,890.2021
1994-11-16,892.1563
1994-11-23,888.0056
1994-11-30,888.9136
1994-12-07,887.3597
1994-12-14,891.0833
1994-12-21,890.2997
1994-12-28,892.1203
1995-01-04,891.2435
1995-01-11,894.0615
1995-01-18,893.1137
1995-01-25,890.5761
1995-02-01,883.5862
1995-02-08,881.0382
1995-02-15,876.7035
1995-02-22,873.4384
1995-03-01,868.1939
1995-03-08,864.6457
1995-03-15,867.9747
1995-03-22,862.3519
1995-03-29,859.0539
1995-04-05,898.6104
1995-04-12,900.7428
1995-04-19,903.8488
1995-04-26,900.2723
